dataset,seed,eps,mechanism,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,0,0.5,edgeflip,16064,194339,0.8053395000000001,0.830174,0.897234,0.781536,0.8640540000000001,0.897234,11.097796314741034,0.0131678209717946,4.085668388019196,0.0657458338792345
email-Eu-core,0,0.5,tmf,16064,16124,0.57884475,0.671087,0.880439,0.661124,0.77596125,0.880439,0.6762325697211155,0.3676214602957127,0.5645183479685106,0.0801079186990059
email-Eu-core,0,0.5,dk1dp,16064,14856,0.8333635,0.869984,0.879791,0.8604379999999999,0.8774157499999999,0.879791,0.0806150398406373,0.2813322965920026,0.1859076047267473,0.181058408303103
email-Eu-core,0,0.5,swap,16064,16064,0.9537555,0.9605445,0.958399,0.939114,0.953843125,0.9605445,0.0,0.2076902795091512,0.0405261538539957,0.4747673795617641
email-Eu-core,0,1.0,edgeflip,16064,143352,0.8851957500000001,0.894251,0.919524,0.849635,0.90965375,0.919524,7.923804780876495,0.1119852572700803,2.76876975010079,0.0739997730041536
email-Eu-core,0,1.0,tmf,16064,16060,0.5933861249999999,0.6994745,0.8798359999999998,0.6854159999999999,0.790138875,0.8798359999999998,0.667704183266932,0.3669013100145988,0.5640015846580294,0.0877120340371776
email-Eu-core,0,1.0,dk1dp,16064,14937,0.838064625,0.8698764999999998,0.870402,0.8677239999999999,0.879730875,0.879730875,0.0777514940239042,0.2791276820119169,0.1793092230036317,0.1292125656054225
email-Eu-core,0,1.0,swap,16064,16064,0.975337625,0.9778085,0.976672,0.951085,0.974093125,0.9778085,0.0,0.1765789962399163,0.0296549236731777,0.5052882073330724
email-Eu-core,0,2.0,edgeflip,16064,72660,0.96462975,0.968584,0.970036,0.930404,0.96842625,0.970036,3.523157370517928,0.2398040830236003,0.9964603113122636,0.2310660069992013
email-Eu-core,0,2.0,tmf,16064,16170,0.719991,0.8126315000000001,0.8963169999999999,0.8063739999999999,0.849083375,0.8963169999999999,0.6193351593625497,0.3642092250070985,0.5439178709535055,0.0889823845946708
email-Eu-core,0,2.0,dk1dp,16064,14861,0.8393436249999999,0.8742075,0.876756,0.8657569999999999,0.8839951250000001,0.8839951250000001,0.0781872509960158,0.2744106485094379,0.1832872743258851,0.1158638134412326
email-Eu-core,0,2.0,swap,16064,16064,0.99188125,0.9925485,0.993563,0.9697,0.9915725,0.993563,0.0,0.0945385075315666,0.0180917327061418,0.548551421062311
email-Eu-core,0,3.0,edgeflip,16064,38515,0.992633,0.993373,0.993345,0.964991,0.9929145,0.993373,1.397597111553785,0.2734735466272246,0.2716736541625341,0.2693285919647223
email-Eu-core,0,3.0,tmf,16064,16109,0.8763023750000001,0.903196,0.931845,0.899194,0.91305275,0.931845,0.4990039840637449,0.3492390370646607,0.4729841251606695,0.2692834635823987
email-Eu-core,0,3.0,dk1dp,16064,14899,0.83888925,0.8801085,0.8864445000000001,0.8626059999999999,0.890801375,0.890801375,0.0745766932270915,0.2790167775431008,0.1778432754843981,0.121261465120582
email-Eu-core,0,3.0,swap,16064,16064,0.996359125,0.997292,0.996705,0.9752300000000002,0.99635475,0.997292,0.0,0.0392682367602024,0.0078719607990954,0.571207210263038
email-Eu-core,0,5.0,edgeflip,16064,19183,0.999853625,0.999605,0.999771,0.979355,0.99947325,0.999853625,0.1941608565737052,0.163205356511575,0.0222625601395511,0.4972943568575814
email-Eu-core,0,5.0,tmf,16064,16133,0.97938225,0.9825905,0.981904,0.963095,0.979863375,0.9825905,0.2086030876494023,0.2555243768363512,0.2089382067873834,0.3928286428343823
email-Eu-core,0,5.0,dk1dp,16064,14841,0.8336315000000003,0.8707915,0.8713274999999999,0.859747,0.88711975,0.88711975,0.0774402390438246,0.2774466232363843,0.1860253425837419,0.0938529899647541
email-Eu-core,0,5.0,swap,16064,16064,0.999728,0.999999,0.999456,0.982249,0.99966075,0.999999,0.0,0.005642171996003,0.0008713983014812,0.5543087553116111
email-Eu-core,1,0.5,edgeflip,16064,194742,0.7948172500000001,0.8199690000000001,0.908966,0.774924,0.8529497500000001,0.908966,11.12288346613546,0.0122176783504694,4.097335697161592,0.0745725715816886
email-Eu-core,1,0.5,tmf,16064,15970,0.5577643750000001,0.6333605,0.864963,0.608375,0.75570625,0.864963,0.6740537848605574,0.3673169821269852,0.5685525879057817,0.0962746271722895
email-Eu-core,1,0.5,dk1dp,16064,14966,0.827484875,0.852009,0.8691899999999999,0.8590639999999998,0.877375875,0.877375875,0.0791210159362548,0.2812427887056183,0.1777684181059129,0.1498308318231147
email-Eu-core,1,0.5,swap,16064,16064,0.9546745,0.9620615,0.9586595,0.942806,0.956090125,0.9620615,0.0,0.209888504412522,0.0377065278618986,0.4366295159946606
email-Eu-core,1,1.0,edgeflip,16064,142585,0.8814744999999999,0.8954090000000001,0.931815,0.861436,0.907846,0.931815,7.876058266932271,0.1135626807981026,2.7505484996392005,0.0757284724523782
email-Eu-core,1,1.0,tmf,16064,15940,0.603016625,0.7031440000000001,0.869267,0.684998,0.791530125,0.869267,0.6657121513944222,0.3671069556995169,0.5677519036002756,0.0720601662748508
email-Eu-core,1,1.0,dk1dp,16064,14875,0.83921275,0.8864005,0.8712039999999999,0.855273,0.883487375,0.8864005,0.0824203187250995,0.287419356537256,0.1840449009962657,0.1450470004304827
email-Eu-core,1,1.0,swap,16064,16064,0.972591,0.976108,0.978218,0.947221,0.972842875,0.978218,0.0,0.1734076263752535,0.0333952048192791,0.508876586712786
email-Eu-core,1,2.0,edgeflip,16064,72439,0.961585,0.9629,0.973453,0.932252,0.96591075,0.973453,3.5093999003984067,0.2401048782253955,0.9895156660833472,0.1973625367846709
email-Eu-core,1,2.0,tmf,16064,16073,0.7246386250000001,0.8219974999999999,0.903195,0.793885,0.850206,0.903195,0.6117405378486055,0.3636273447854798,0.543304353807295,0.0932500600309397
email-Eu-core,1,2.0,dk1dp,16064,14826,0.8377295,0.8860904999999999,0.8746984999999999,0.8701,0.8849966250000001,0.8860904999999999,0.0789342629482071,0.2816122745257441,0.1871964568669236,0.1235863373182305
email-Eu-core,1,2.0,swap,16064,16064,0.989714875,0.990001,0.9911325,0.972443,0.9892474999999998,0.9911325,0.0,0.0991904660530459,0.0131173657090842,0.5372798915886258
email-Eu-core,1,3.0,edgeflip,16064,38231,0.99221675,0.992929,0.994218,0.965629,0.9924695,0.994218,1.3799178286852591,0.2740331475315225,0.2604289992327761,0.37588469490459
email-Eu-core,1,3.0,tmf,16064,16050,0.8788402499999999,0.912644,0.93037,0.905548,0.9140515,0.93037,0.490164342629482,0.3493579739698086,0.4671107129759842,0.2336669652622378
email-Eu-core,1,3.0,dk1dp,16064,14837,0.831411625,0.8601559999999999,0.8681614999999999,0.8527660000000001,0.8808595000000001,0.8808595000000001,0.077066733067729,0.28037986776975,0.1779088671137668,0.1037530775863441
email-Eu-core,1,3.0,swap,16064,16064,0.9968375,0.997052,0.996469,0.974222,0.996456,0.997052,0.0,0.0432409907585668,0.0063608547752436,0.5454164390745777
email-Eu-core,1,5.0,edgeflip,16064,19315,0.99936175,0.999177,0.999627,0.981558,0.99936125,0.999627,0.2023779880478088,0.1666553148636582,0.025151198494569,0.4451607235939088
email-Eu-core,1,5.0,tmf,16064,16043,0.981610875,0.9847,0.983688,0.960972,0.98252125,0.9847,0.2069845617529879,0.2522718617514177,0.2110038094280817,0.419544401343247
email-Eu-core,1,5.0,dk1dp,16064,14838,0.8427583750000002,0.884517,0.8788535,0.869218,0.88779675,0.88779675,0.0771289840637449,0.2724677588548974,0.1870274962787387,0.1057526674287303
email-Eu-core,1,5.0,swap,16064,16064,0.999409375,0.999263,0.999468,0.979965,0.999381,0.999468,0.0,0.0067832740972161,0.0008459669335705,0.5451520361217421
email-Eu-core,2,0.5,edgeflip,16064,193835,0.81033,0.8378660000000001,0.904086,0.7860739999999999,0.86478225,0.904086,11.066421812749004,0.0141062584735572,4.072863736936704,0.0630287573928863
email-Eu-core,2,0.5,tmf,16064,15999,0.5514085000000001,0.6268535000000001,0.8724919999999998,0.608362,0.7587235,0.8724919999999998,0.6760458167330675,0.3679517003989526,0.5683621370699741,0.0736876724707292
email-Eu-core,2,0.5,dk1dp,16064,15036,0.8304285000000001,0.859367,0.8772040000000001,0.8457789999999998,0.87676775,0.8772040000000001,0.0760084661354581,0.2829081400790127,0.1803362192556878,0.1497250970022359
email-Eu-core,2,0.5,swap,16064,16064,0.957487125,0.9595695,0.9569255,0.948894,0.9579673749999998,0.9595695,0.0,0.2040074455797943,0.0405721912732095,0.46086821035804
email-Eu-core,2,1.0,edgeflip,16064,143319,0.8698562500000001,0.890782,0.921135,0.8594039999999998,0.8948685000000001,0.921135,7.921750498007968,0.1119048480815717,2.769594269590459,0.0742708183365913
email-Eu-core,2,1.0,tmf,16064,16022,0.5921226249999999,0.696823,0.871468,0.6823530000000001,0.7878355,0.871468,0.6713147410358563,0.366970477692667,0.5661918670381008,0.065888488901451
email-Eu-core,2,1.0,dk1dp,16064,14925,0.8381052500000001,0.8726840000000001,0.8708315,0.8549644999999999,0.8825358750000001,0.8825358750000001,0.0804282868525895,0.2796830998970382,0.1888500977789378,0.1210418446765509
email-Eu-core,2,1.0,swap,16064,16064,0.975650125,0.9762365,0.9769515,0.955091,0.974875,0.9769515,0.0,0.1656664604433016,0.0308528780166334,0.529351285015576
email-Eu-core,2,2.0,edgeflip,16064,72452,0.9639145,0.9668,0.974473,0.949115,0.96844675,0.974473,3.5102091633466133,0.2399910795363385,0.9904099562929664,0.2124109320179298
email-Eu-core,2,2.0,tmf,16064,15988,0.7060942499999999,0.7954265,0.8809939999999999,0.779833,0.8394817499999999,0.8809939999999999,0.6245019920318724,0.3644778452968652,0.5495493401154803,0.1067609164864775
email-Eu-core,2,2.0,dk1dp,16064,14896,0.825677375,0.8749370000000001,0.8726794999999999,0.8594375000000001,0.8827563749999999,0.8827563749999999,0.0761952191235059,0.2819710973659944,0.1777591938113362,0.11444463569705
email-Eu-core,2,2.0,swap,16064,16064,0.99208075,0.9894635,0.989815,0.970837,0.990701375,0.99208075,0.0,0.0900189101538744,0.0143315306900104,0.5700798261361129
email-Eu-core,2,3.0,edgeflip,16064,38458,0.989856625,0.992913,0.990524,0.966318,0.99035175,0.992913,1.3940488047808763,0.2737972098980064,0.2668423646524382,0.3504928925341029
email-Eu-core,2,3.0,tmf,16064,16106,0.8807716249999998,0.9093395,0.925278,0.901559,0.915452875,0.925278,0.5036105577689242,0.3496244570438563,0.4762074384235019,0.2493583201339406
email-Eu-core,2,3.0,dk1dp,16064,14839,0.8398813749999999,0.8786094999999998,0.8690749999999999,0.8481190000000001,0.884982125,0.884982125,0.0784985059760955,0.2789312145319824,0.1770665056389844,0.1037547657922307
email-Eu-core,2,3.0,swap,16064,16064,0.99704425,0.99796,0.9983885,0.973666,0.99731025,0.9983885,0.0,0.0401662408861903,0.0050977905988644,0.5473486042266357
email-Eu-core,2,5.0,edgeflip,16064,19230,0.998684625,0.999074,0.998717,0.984001,0.99871625,0.999074,0.1971489043824701,0.1683394307596786,0.0246853512789708,0.4341532899662486
email-Eu-core,2,5.0,tmf,16064,16155,0.9832745,0.983689,0.982036,0.967426,0.982673875,0.983689,0.2056772908366533,0.2532800169140004,0.2035704485159563,0.4268976384879668
email-Eu-core,2,5.0,dk1dp,16064,14910,0.8330044999999999,0.8651855,0.8658039999999999,0.8535969999999999,0.884213125,0.884213125,0.0727091633466134,0.2766771233902403,0.1780205651834115,0.0876502927646119
email-Eu-core,2,5.0,swap,16064,16064,0.99962925,0.999629,0.999455,0.981636,0.999587,0.99962925,0.0,0.006189811927992,0.0013202778597649,0.5478562984283522
ego-Facebook,0,0.5,tmf,88234,237448,0.571482375,0.6338805000000001,0.837281,0.623563,0.67352975,0.837281,1.8234807443842511,0.5652984297885122,0.2694785989253317,
ego-Facebook,0,0.5,dk1dp,88234,85899,0.783970375,0.818738,0.8373985,0.8022600000000001,0.8314928749999999,0.8373985,0.0311897907835982,0.5465655388014555,0.4016492547363118,
ego-Facebook,0,0.5,swap,88234,88234,0.986117,0.987416,0.9938495,0.968174,0.9878725,0.9938495,0.0,0.4335479061488618,0.2405304556073931,
ego-Facebook,0,1.0,tmf,88234,87669,0.5316925,0.600689,0.8405790000000002,0.569239,0.6337818749999999,0.8405790000000002,0.704966339506313,0.5838611876240504,0.7264409258012888,
ego-Facebook,0,1.0,dk1dp,88234,85528,0.7958123749999999,0.8466324999999999,0.8263175,0.830645,0.8410955,0.8466324999999999,0.0320511367500057,0.5405456961184735,0.409211606326053,
ego-Facebook,0,1.0,swap,88234,88234,0.994093125,0.9965495,0.995092,0.977055,0.995481625,0.9965495,0.0,0.3535418436387834,0.1894125745764871,
ego-Facebook,0,2.0,tmf,88234,89109,0.6183050000000001,0.6900465,0.8403259999999999,0.7096980000000002,0.7126917500000001,0.8403259999999999,0.6989595847405765,0.5831762736624435,0.7202039885066661,
ego-Facebook,0,2.0,dk1dp,88234,85621,0.79664425,0.8390389999999999,0.845771,0.8398539999999999,0.8482061249999999,0.8482061249999999,0.0300337738286828,0.5400869752975986,0.4068918472743055,
ego-Facebook,0,2.0,swap,88234,88234,0.99887825,0.998921,0.999084,0.985967,0.99900125,0.999084,0.0,0.1833605098067049,0.0962321295793665,
ego-Facebook,0,3.0,tmf,88234,88176,0.7950808749999999,0.8335429999999999,0.8735310000000001,0.876582,0.838706125,0.876582,0.6478795022326996,0.5801970195467052,0.7113709667916609,
ego-Facebook,0,3.0,dk1dp,88234,85691,0.7920826249999999,0.830261,0.845572,0.8142169999999999,0.840950625,0.845572,0.0295010993494571,0.5417230507286475,0.4059406836226312,
ego-Facebook,0,3.0,swap,88234,88234,0.999780125,0.999896,0.999125,0.987513,0.9997445,0.999896,0.0,0.0818960327869535,0.0392044657030976,
ego-Facebook,0,5.0,tmf,88234,88169,0.985506625,0.991593,0.989602,0.971818,0.98690575,0.991593,0.3579345830405513,0.5132673842094599,0.4367370807460269,
ego-Facebook,0,5.0,dk1dp,88234,85608,0.79653075,0.8396809999999999,0.832976,0.8229540000000001,0.8448897499999999,0.8448897499999999,0.0298751048348709,0.540932750364024,0.4071352611827945,
ego-Facebook,0,5.0,swap,88234,88234,0.999964875,0.999974,0.999794,0.986965,0.99991525,0.999974,0.0,0.0101029009891926,0.0055081887730437,
ego-Facebook,1,0.5,tmf,88234,237091,0.553269,0.6027064999999999,0.845575,0.5692379999999999,0.644820875,0.845575,1.821055375478841,0.5652842027869726,0.2707216652907858,
ego-Facebook,1,0.5,dk1dp,88234,86087,0.7910325,0.834136,0.844777,0.824624,0.83630575,0.844777,0.033207153704921,0.5450101498557806,0.4052728294938763,
ego-Facebook,1,0.5,swap,88234,88234,0.98548875,0.989552,0.9922325,0.961501,0.9876385,0.9922325,0.0,0.4247598035569335,0.244499312951142,
ego-Facebook,1,1.0,tmf,88234,88022,0.5231745,0.5935085,0.8408929999999999,0.567515,0.625073625,0.8408929999999999,0.7051930094974728,0.5835669286986507,0.7251665971279088,
ego-Facebook,1,1.0,dk1dp,88234,85667,0.7932792499999999,0.8350044999999999,0.8384505,0.828497,0.84170775,0.84170775,0.0307024503026045,0.5401011034665624,0.4081919489736423,
ego-Facebook,1,1.0,swap,88234,88234,0.995109125,0.9953585,0.993521,0.981952,0.99507175,0.9953585,0.0,0.3445265340535942,0.1935802034500293,
ego-Facebook,1,2.0,tmf,88234,88223,0.6044561250000001,0.7139655,0.844825,0.7439450000000001,0.7355462500000001,0.844825,0.696205544347984,0.5835371981394101,0.7230601923165979,
ego-Facebook,1,2.0,dk1dp,88234,85597,0.8015116250000001,0.8470039999999999,0.8551279999999999,0.8262750000000001,0.8510796250000001,0.8551279999999999,0.0302604438198427,0.5428872793373909,0.4083590123455637,
ego-Facebook,1,2.0,swap,88234,88234,0.99854825,0.998769,0.999123,0.986008,0.998507875,0.999123,0.0,0.1863726466850028,0.0895463709778621,
ego-Facebook,1,3.0,tmf,88234,88064,0.78902825,0.8146125,0.8763679999999999,0.8755839999999999,0.828042125,0.8763679999999999,0.6464514812883924,0.580401828109545,0.7112119707097572,
ego-Facebook,1,3.0,dk1dp,88234,85500,0.798037875,0.8432225,0.8507655,0.8489639999999999,0.8515648749999999,0.8515648749999999,0.0310537887889022,0.544217277050624,0.4082185015056583,
ego-Facebook,1,3.0,swap,88234,88234,0.99975575,0.999882,0.999853,0.987593,0.99971725,0.999882,0.0,0.083792097216946,0.0410064644633493,
ego-Facebook,1,5.0,tmf,88234,88301,0.987208625,0.9884715,0.986962,0.977567,0.988768125,0.988768125,0.3550558741528208,0.5117896500877938,0.4262169327865779,
ego-Facebook,1,5.0,dk1dp,88234,85673,0.7981919999999999,0.8376735,0.8434895,0.8239704999999999,0.84772275,0.84772275,0.0291270938640434,0.5427268032914316,0.4068970169894013,
ego-Facebook,1,5.0,swap,88234,88234,0.99997775,0.999987,0.999966,0.988227,0.9999825,0.999987,0.0,0.01019519382014,0.0057368437250433,
ego-Facebook,2,0.5,tmf,88234,237420,0.5519154999999999,0.6223,0.846523,0.5980530000000001,0.6559560000000001,0.846523,1.8249087653285587,0.5652221242791681,0.2696038355255196,
ego-Facebook,2,0.5,dk1dp,88234,85944,0.79333275,0.8299794999999999,0.8454885000000001,0.826269,0.8404461249999999,0.8454885000000001,0.0336264931885668,0.5433508983819236,0.4067124068507002,
ego-Facebook,2,0.5,swap,88234,88234,0.985178875,0.987676,0.9909795,0.973454,0.98730875,0.9909795,0.0,0.4240156257046997,0.2436142386214995,
ego-Facebook,2,1.0,tmf,88234,88202,0.522014375,0.5922395,0.8373565000000001,0.578514,0.6342583750000002,0.8373565000000001,0.7034023165673098,0.5833900549222999,0.7244073282005298,
ego-Facebook,2,1.0,dk1dp,88234,85846,0.7925525,0.8319289999999999,0.8429524999999999,0.8165674999999999,0.841591375,0.8429524999999999,0.0294444318516672,0.5413701024459171,0.4052574454732972,
ego-Facebook,2,1.0,swap,88234,88234,0.991393375,0.993122,0.993218,0.971769,0.992079125,0.993218,0.0,0.3373922075131151,0.1954587306592293,
ego-Facebook,2,2.0,tmf,88234,88494,0.60277775,0.7097260000000001,0.840079,0.737651,0.726199,0.840079,0.6951401953895325,0.5830375198810291,0.7220054874243251,
ego-Facebook,2,2.0,dk1dp,88234,85634,0.7752899999999999,0.8243095,0.8267355000000001,0.8119295,0.8298840000000001,0.8298840000000001,0.0303171113176327,0.54317514246001,0.4088058037505755,
ego-Facebook,2,2.0,swap,88234,88234,0.999413625,0.999739,0.999246,0.985758,0.99944775,0.999739,0.0,0.2017960093325121,0.0945497104069709,
ego-Facebook,2,3.0,tmf,88234,88371,0.8021428750000001,0.8385745,0.8779964999999998,0.882898,0.8380148749999999,0.882898,0.6466894847791103,0.5805542845293745,0.7097469702072209,
ego-Facebook,2,3.0,dk1dp,88234,85663,0.7826117499999998,0.8222705,0.8327979999999999,0.824053,0.834910875,0.834910875,0.0293990978534352,0.5425935019570632,0.4056737205065043,
ego-Facebook,2,3.0,swap,88234,88234,0.999547875,0.99911,0.998508,0.984783,0.999129,0.999547875,0.0,0.0790408555934052,0.0376129438138884,
