dataset,seed,eps,multiplier,swaps,k0,retained,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,0,1.0,0.0,0,2516.1178741463655,1.0,16064,16064,1.0,1.0,1.0,0.97576,1.0,1.0,0.0,0.0,3.726647363566402e-16,0.5694540375051778
email-Eu-core,0,1.0,0.25,629,2516.1178741463655,0.9251743027888446,16064,16064,0.994805,0.995306,0.997078,0.9664,0.994968,0.997078,0.0,0.0594802041549469,0.010021182214374,0.5363800354166326
email-Eu-core,0,1.0,0.5,1258,2516.1178741463655,0.8563247011952191,16064,16064,0.9902585,0.990334,0.992852,0.963544,0.99046,0.992852,0.0,0.1101536141212994,0.0174248801335075,0.5522318388073304
email-Eu-core,0,1.0,1.0,2516,2516.1178741463655,0.7379233067729084,16064,16064,0.9675425,0.970998,0.971548,0.95206,0.968692,0.971548,0.0,0.1716028050995314,0.0299081195012564,0.5410879155462549
email-Eu-core,0,1.0,2.0,5032,2516.1178741463655,0.5573954183266933,16064,16064,0.9388475,0.941916,0.939,0.906388,0.943538,0.943538,0.0,0.2221388989060873,0.042189646650891,0.4420416580890456
email-Eu-core,0,1.0,4.0,10064,2516.1178741463655,0.3498505976095618,16064,16064,0.8841039999999999,0.8945759999999999,0.901986,0.8553440000000001,0.8998925,0.901986,0.0,0.2419145167632496,0.0605850888190917,0.0959738446711177
email-Eu-core,0,1.0,8.0,20129,2516.1178741463655,0.2077938247011952,16064,16064,0.8519355,0.8643239999999999,0.8591580000000001,0.843092,0.8807639999999999,0.8807639999999999,0.0,0.2387506338890629,0.0685399998546528,0.0747783759304431
email-Eu-core,0,1.0,16.0,40258,2516.1178741463655,0.164965139442231,16064,16064,0.8662089999999999,0.8872659999999999,0.901076,0.902188,0.9034155,0.9034155,0.0,0.2414407279429259,0.0680035067870657,0.0972687754499842
email-Eu-core,1,1.0,0.0,0,2516.1178741463655,1.0,16064,16064,1.0,1.0,1.0,0.983888,1.0,1.0,0.0,0.0,1.8633236817832015e-16,0.5694540375051778
email-Eu-core,1,1.0,0.25,629,2516.1178741463655,0.925734561752988,16064,16064,0.993809,0.992806,0.99436,0.965512,0.993872,0.99436,0.0,0.0623752494399023,0.0078818402105929,0.5771960970970824
email-Eu-core,1,1.0,0.5,1258,2516.1178741463655,0.8578187250996016,16064,16064,0.988876,0.990876,0.990176,0.970656,0.9875005,0.990876,0.0,0.1097320402333897,0.015534031874898,0.5481707866851568
email-Eu-core,1,1.0,1.0,2516,2516.1178741463655,0.7371762948207171,16064,16064,0.9645815,0.966876,0.970472,0.942412,0.965777,0.970472,0.0,0.1670465515302198,0.02980999036449,0.4922473117150092
email-Eu-core,1,1.0,2.0,5032,2516.1178741463655,0.555714641434263,16064,16064,0.9472294999999998,0.948522,0.948504,0.914956,0.9491395,0.9491395,0.0,0.2242849842773166,0.0413301983439708,0.3824257806580333
email-Eu-core,1,1.0,4.0,10064,2516.1178741463655,0.3490413346613545,16064,16064,0.88743,0.8904380000000001,0.899354,0.8508640000000001,0.9064295,0.9064295,0.0,0.2426079288210884,0.0611148978585481,0.1143968666802372
email-Eu-core,1,1.0,8.0,20129,2516.1178741463655,0.2061130478087649,16064,16064,0.8488155,0.867236,0.845412,0.86556,0.880007,0.880007,0.0,0.241051126653114,0.0707870731782189,0.0945787799340139
email-Eu-core,1,1.0,16.0,40258,2516.1178741463655,0.1698207171314741,16064,16064,0.8414765,0.867726,0.871052,0.8556519999999999,0.8858079999999999,0.8858079999999999,0.0,0.2403283694493484,0.0700915465521347,0.0915646989599996
email-Eu-core,2,1.0,0.0,0,2516.1178741463655,1.0,16064,16064,1.0,1.0,1.0,0.96808,1.0,1.0,0.0,0.0,7.453294727132808e-16,0.5694540375051778
email-Eu-core,2,1.0,0.25,629,2516.1178741463655,0.9252988047808764,16064,16064,0.994313,0.9946819999999998,0.996112,0.971948,0.993904,0.996112,0.0,0.0639331258087206,0.0073735616185523,0.5804674592550846
email-Eu-core,2,1.0,0.5,1258,2516.1178741463655,0.8570094621513944,16064,16064,0.9901204999999998,0.990996,0.989802,0.970988,0.9894455,0.990996,0.0,0.1111914502700017,0.018404955384826,0.5112796494148898
email-Eu-core,2,1.0,1.0,2516,2516.1178741463655,0.7382345617529881,16064,16064,0.978102,0.97828,0.978568,0.951544,0.978195,0.978568,0.0,0.1732735019828417,0.0296913926118334,0.5016908392047125
email-Eu-core,2,1.0,2.0,5032,2516.1178741463655,0.5572709163346613,16064,16064,0.9451385,0.94693,0.949656,0.922904,0.947848,0.949656,0.0,0.2172955294520126,0.0437479023667477,0.4122830213210954
email-Eu-core,2,1.0,4.0,10064,2516.1178741463655,0.3538346613545817,16064,16064,0.8889974999999999,0.8989539999999999,0.8931419999999999,0.8590440000000001,0.9058095,0.9058095,0.0,0.2409057434527699,0.06487846157082,0.1012598881284594
email-Eu-core,2,1.0,8.0,20129,2516.1178741463655,0.2114043824701195,16064,16064,0.849335,0.877326,0.873794,0.8464560000000001,0.884447,0.884447,0.0,0.2409366695464977,0.069162984879476,0.0935010230280355
email-Eu-core,2,1.0,16.0,40258,2516.1178741463655,0.1695094621513944,16064,16064,0.84602,0.872434,0.883584,0.868304,0.886466,0.886466,0.0,0.2395331316844076,0.0688899408893187,0.0917778188196292
ego-Facebook,0,1.0,0.0,0,13820.165868241436,1.0,88234,88234,1.0,1.0,1.0,0.988116,1.0,1.0,0.0,0.0,3.5007722324872067e-16,
ego-Facebook,0,1.0,0.25,3455,13820.165868241436,0.924847564430945,88234,88234,0.9989295,0.998188,0.997612,0.9837959999999998,0.99866,0.9989295,0.0,0.1228118584920003,0.0631635796112977,
ego-Facebook,0,1.0,0.5,6910,13820.165868241436,0.8551578756488428,88234,88234,0.9973505,0.99527,0.995402,0.980352,0.995871,0.9973505,0.0,0.214863744669943,0.1130865818869291,
ego-Facebook,0,1.0,1.0,13820,13820.165868241436,0.7328354149194188,88234,88234,0.994861,0.99604,0.997384,0.976548,0.996675,0.997384,0.0,0.3516012119548631,0.190219973547858,
ego-Facebook,0,1.0,2.0,27640,13820.165868241436,0.5429539633247954,88234,88234,0.97471,0.986532,0.984432,0.95964,0.9789815,0.986532,0.0,0.4703727075700162,0.2769568805325672,
ego-Facebook,0,1.0,4.0,55281,13820.165868241436,0.3096765419226148,88234,88234,0.9137945,0.922504,0.926258,0.88428,0.921207,0.926258,0.0,0.5314109102585486,0.3381775676721705,
ego-Facebook,0,1.0,8.0,110561,13820.165868241436,0.132771947321894,88234,88234,0.811085,0.847014,0.851816,0.8020160000000001,0.846371,0.851816,0.0,0.5286694453089982,0.3652986821182223,
ego-Facebook,0,1.0,16.0,221123,13820.165868241436,0.0711970442233152,88234,88234,0.8056580000000001,0.82834,0.8355459999999999,0.812568,0.8417235000000001,0.8417235000000001,0.0,0.5316467902606574,0.372254113697765,
ego-Facebook,1,1.0,0.0,0,13820.165868241436,1.0,88234,88234,1.0,1.0,1.0,0.991228,1.0,1.0,0.0,0.0,1.7503861162436024e-16,
ego-Facebook,1,1.0,0.25,3455,13820.165868241436,0.9247342294353652,88234,88234,0.999405,0.999672,0.999676,0.979556,0.998973,0.999676,0.0,0.12413351197687,0.0619938435775783,
ego-Facebook,1,1.0,0.5,6910,13820.165868241436,0.8552372101457488,88234,88234,0.998422,0.99964,0.99748,0.98224,0.9982445,0.99964,0.0,0.2133755620158771,0.1143973635199456,
ego-Facebook,1,1.0,1.0,13820,13820.165868241436,0.7337420948840583,88234,88234,0.992362,0.993952,0.995484,0.974988,0.9937435,0.995484,0.0,0.35277697608887,0.1881299095050415,
ego-Facebook,1,1.0,2.0,27640,13820.165868241436,0.5415032753813722,88234,88234,0.968709,0.97281,0.973506,0.94978,0.973626,0.973626,0.0,0.4723567731672175,0.2762293942330635,
ego-Facebook,1,1.0,4.0,55281,13820.165868241436,0.3095632069270349,88234,88234,0.923976,0.92958,0.937044,0.8758919999999999,0.9332045,0.937044,0.0,0.5276306180539952,0.3354799627662207,
ego-Facebook,1,1.0,8.0,110561,13820.165868241436,0.1283292154951606,88234,88234,0.81135,0.8396039999999999,0.835426,0.8105199999999999,0.8482864999999999,0.8482864999999999,0.0,0.5339445805234342,0.364322724812295,
ego-Facebook,1,1.0,16.0,221123,13820.165868241436,0.0731237391481741,88234,88234,0.800298,0.8453539999999999,0.8469840000000001,0.83028,0.84843,0.84843,0.0,0.5347422591603403,0.3701601434614747,
ego-Facebook,2,1.0,0.0,0,13820.165868241436,1.0,88234,88234,1.0,1.0,1.0,0.987084,1.0,1.0,0.0,0.0,1.7503861162436026e-16,
ego-Facebook,2,1.0,0.25,3455,13820.165868241436,0.9245415599428792,88234,88234,0.9992525,0.999368,0.99964,0.981664,0.999056,0.99964,0.0,0.1285341241961826,0.063855300303537,
ego-Facebook,2,1.0,0.5,6910,13820.165868241436,0.8553052111430968,88234,88234,0.998447,0.99854,0.997932,0.985816,0.998727,0.998727,0.0,0.221332357618408,0.1169387055591748,
ego-Facebook,2,1.0,1.0,13820,13820.165868241436,0.7329147494163247,88234,88234,0.9954725,0.996868,0.99586,0.970824,0.996223,0.996868,0.0,0.3548124078827053,0.1920233421027612,
ego-Facebook,2,1.0,2.0,27640,13820.165868241436,0.5445519867624725,88234,88234,0.97499,0.9863039999999998,0.981604,0.950496,0.9802805,0.9863039999999998,0.0,0.4758425307169033,0.2771037585929945,
ego-Facebook,2,1.0,4.0,55281,13820.165868241436,0.3097558764195208,88234,88234,0.904339,0.919212,0.908496,0.8806499999999999,0.9178875,0.919212,0.0,0.5289856727352217,0.3363753690846857,
ego-Facebook,2,1.0,8.0,110561,13820.165868241436,0.1298139039372577,88234,88234,0.8263214999999999,0.8456779999999999,0.863524,0.8419960000000001,0.8572215000000001,0.863524,0.0,0.5324502247321327,0.366178354029176,
ego-Facebook,2,1.0,16.0,221123,13820.165868241436,0.07337307613845,88234,88234,0.7909120000000001,0.8373139999999999,0.8348859999999999,0.8391,0.8403265,0.8403265,0.0,0.5287123319488938,0.3721641139935677,
ca-GrQc,0,1.0,0.0,0,2268.6411410069695,1.0,14484,14484,1.0,1.0,1.0,0.917524,1.0,1.0,0.0,0.0,6.230556256359757e-16,
ca-GrQc,0,1.0,0.25,567,2268.6411410069695,0.9250207125103562,14484,14484,0.996947,0.99847,0.997174,0.924656,0.996915,0.99847,0.0,0.1167378720761025,0.0690151949637061,
ca-GrQc,0,1.0,0.5,1134,2268.6411410069695,0.8543220104943385,14484,14484,0.984738,0.987738,0.987596,0.89988,0.987786,0.987786,0.0,0.1935822169372347,0.123294730397028,
ca-GrQc,0,1.0,1.0,2269,2268.6411410069695,0.7288732394366197,14484,14484,0.96518,0.96747,0.972196,0.8720800000000001,0.9754565,0.9754565,0.0,0.3409761868725066,0.2279621675092921,
ca-GrQc,0,1.0,2.0,4537,2268.6411410069695,0.5357636012151339,14484,14484,0.9138215,0.9382900000000002,0.945328,0.807588,0.94549,0.94549,0.0,0.4580027382644021,0.365208843732295,
ca-GrQc,0,1.0,4.0,9075,2268.6411410069695,0.288180060756697,14484,14484,0.7819995,0.8726879999999999,0.8812319999999999,0.73996,0.8830355,0.8830355,0.0,0.5223132475004076,0.5064507309880657,
ca-GrQc,0,1.0,8.0,18149,2268.6411410069695,0.0954846727423363,14484,14484,0.635512,0.8480979999999999,0.832376,0.750492,0.8508009999999999,0.8508009999999999,0.0,0.5324375993720812,0.5896410789558753,
ca-GrQc,0,1.0,16.0,36298,2268.6411410069695,0.0235432201049433,14484,14484,0.574117,0.8125680000000001,0.81999,0.783472,0.8349589999999999,0.8349589999999999,0.0,0.5330586598366092,0.6095247127989385,
ca-GrQc,1,1.0,0.0,0,2268.6411410069695,1.0,14484,14484,1.0,1.0,1.0,0.92284,1.0,1.0,0.0,0.0,3.1152781281798777e-16,
ca-GrQc,1,1.0,0.25,567,2268.6411410069695,0.9250897542115438,14484,14484,0.993944,0.996912,0.995994,0.9221,0.996297,0.996912,0.0,0.107030186304884,0.0638749651970645,
ca-GrQc,1,1.0,0.5,1134,2268.6411410069695,0.8540458436895885,14484,14484,0.989387,0.99565,0.991348,0.914628,0.9918865,0.99565,0.0,0.2010855673576619,0.125183170471258,
ca-GrQc,1,1.0,1.0,2269,2268.6411410069695,0.731980115990058,14484,14484,0.959285,0.96873,0.975338,0.8888719999999999,0.9734615,0.975338,0.0,0.3385307506725297,0.1969760283841161,
ca-GrQc,1,1.0,2.0,4537,2268.6411410069695,0.538041977354322,14484,14484,0.9047935,0.939178,0.93896,0.8060519999999999,0.938199,0.939178,0.0,0.4460085432482966,0.3664941398046195,
ca-GrQc,1,1.0,4.0,9075,2268.6411410069695,0.2875586854460094,14484,14484,0.7741425,0.8831899999999999,0.8892180000000001,0.72378,0.8901924999999999,0.8901924999999999,0.0,0.5196248916194063,0.5132927021386963,
ca-GrQc,1,1.0,8.0,18149,2268.6411410069695,0.0938967136150234,14484,14484,0.640872,0.8366939999999999,0.8647219999999999,0.7922019999999999,0.8559455,0.8647219999999999,0.0,0.531757451079846,0.5878785946537448,
ca-GrQc,1,1.0,16.0,36298,2268.6411410069695,0.0212648439657553,14484,14484,0.574769,0.8223360000000001,0.80776,0.7659260000000001,0.8197275,0.8223360000000001,0.0,0.5311508654171363,0.6116963952195014,
ca-GrQc,2,1.0,0.0,0,2268.6411410069695,1.0,14484,14484,1.0,1.0,1.0,0.928652,1.0,1.0,0.0,0.0,7.78819532044969e-16,
ca-GrQc,2,1.0,0.25,567,2268.6411410069695,0.923777961888981,14484,14484,0.993961,0.9925719999999999,0.9944,0.9345679999999998,0.9953764999999999,0.9953764999999999,0.0,0.11288107633770822,0.059109462013656876,
ca-GrQc,2,1.0,0.5,1134,2268.6411410069695,0.8557718862192765,14484,14484,0.9873860000000001,0.992326,0.989924,0.912444,0.9890619999999998,0.992326,0.0,0.1940760231775422,0.13825948117191478,
ca-GrQc,2,1.0,1.0,2269,2268.6411410069695,0.7301850317591826,14484,14484,0.965084,0.970564,0.9750840000000001,0.87036,0.9733419999999999,0.9750840000000001,0.0,0.3175421082436885,0.21947001033798175,
ca-GrQc,2,1.0,2.0,4537,2268.6411410069695,0.5326567246616957,14484,14484,0.9022399999999999,0.947888,0.94364,0.809582,0.9383674999999999,0.947888,0.0,0.4533256059889026,0.350472225741995,
ca-GrQc,2,1.0,4.0,9075,2268.6411410069695,0.2921844794255731,14484,14484,0.7731060000000001,0.886616,0.878724,0.7177879999999999,0.8879129999999997,0.8879129999999997,0.0,0.5224734507132481,0.5238517594739951,
ca-GrQc,2,1.0,8.0,18149,2268.6411410069695,0.09396575531621099,14484,14484,0.6353905,0.853496,0.860156,0.801372,0.8567905,0.860156,0.0,0.5297579158206994,0.5865570894188415,
ca-GrQc,2,1.0,16.0,36298,2268.6411410069695,0.020988677161005248,14484,14484,0.589634,0.8214460000000001,0.8104760000000001,0.7748139999999999,0.8215034999999999,0.8215034999999999,0.0,0.5303664991340311,0.6034488192417523,
